net,mu,bwd,k,D_cfg,T,T_max,acl
NN3,8,T,4,1e-09,0.00034314124865897046,0.0003431412486589704,"[63, 64, 49, 63, 32, 1]"
NN3,8,T,4,1e-08,0.0003432312486589704,0.0003432312486589704,"[63, 64, 49, 63, 32, 1]"
NN3,8,T,4,1e-07,0.0003441312486589704,0.0003441312486589704,"[63, 64, 49, 63, 32, 1]"
NN3,8,T,4,1e-06,0.00035313124865897044,0.0003531312486589704,"[63, 64, 49, 63, 32, 1]"
NN3,16,R,1,1e-09,0.000826283134340954,0.0008323273973723352,"[64, 51, 49, 63, 18, 1]"
NN3,16,R,1,1e-08,0.000826373134340954,0.0008324173973723351,"[64, 51, 49, 63, 18, 1]"
NN3,16,R,1,1e-07,0.000827273134340954,0.0008333173973723352,"[64, 51, 49, 63, 18, 1]"
NN3,16,R,1,1e-06,0.0008362731343409541,0.0008423173973723351,"[64, 51, 49, 63, 18, 1]"
NN3,16,R,4,1e-09,0.0006264073973723351,0.0006273391620782175,"[64, 51, 49, 63, 32, 1]"
NN3,16,R,4,1e-08,0.0006264973973723352,0.0006274291620782175,"[64, 51, 49, 63, 32, 1]"
NN3,16,R,4,1e-07,0.0006273973973723349,0.0006283291620782174,"[64, 51, 49, 63, 32, 1]"
NN3,16,R,4,1e-06,0.000636397397372335,0.0006373291620782174,"[64, 51, 49, 63, 32, 1]"
NN3,16,T,1,1e-09,0.000620569419720079,0.0006205694197200791,"[63, 64, 49, 63, 32, 1]"
NN3,16,T,1,1e-08,0.0006206594197200788,0.000620659419720079,"[63, 64, 49, 63, 32, 1]"
NN3,16,T,1,1e-07,0.0006215594197200788,0.000621559419720079,"[63, 64, 49, 63, 32, 1]"
NN3,16,T,1,1e-06,0.000630559419720079,0.0006305594197200789,"[63, 64, 49, 63, 32, 1]"
NN3,16,T,4,1e-09,0.0005988670667789025,0.0005988670667789025,"[63, 64, 49, 63, 32, 1]"
NN3,16,T,4,1e-08,0.0005989570667789025,0.0005989570667789025,"[63, 64, 49, 63, 32, 1]"
NN3,16,T,4,1e-07,0.0005998570667789026,0.0005998570667789025,"[63, 64, 49, 63, 32, 1]"
NN3,16,T,4,1e-06,0.0006088570667789025,0.0006088570667789025,"[63, 64, 49, 63, 32, 1]"
NN3,32,R,1,1e-09,0.0016516512384011927,0.0016591053560482518,"[64, 51, 49, 63, 32, 1]"
NN3,32,R,1,1e-08,0.0016517412384011924,0.0016591953560482517,"[64, 51, 49, 63, 32, 1]"
NN3,32,R,1,1e-07,0.0016526412384011925,0.0016600953560482515,"[64, 51, 49, 63, 32, 1]"
NN3,32,R,1,1e-06,0.0016616412384011928,0.0016690953560482514,"[64, 51, 49, 63, 32, 1]"
NN3,32,R,4,1e-09,0.0012472653560482517,0.0012491288854600162,"[64, 51, 49, 63, 32, 1]"
NN3,32,R,4,1e-08,0.0012473553560482516,0.0012492188854600161,"[64, 51, 49, 63, 32, 1]"
NN3,32,R,4,1e-07,0.0012482553560482516,0.0012501188854600162,"[64, 51, 49, 63, 32, 1]"
NN3,32,R,4,1e-06,0.0012572553560482517,0.0012591188854600163,"[64, 51, 49, 63, 32, 1]"
NN3,32,T,1,1e-09,0.001251350884781988,0.001251350884781988,"[63, 64, 49, 63, 32, 1]"
NN3,32,T,1,1e-08,0.0012514408847819878,0.0012514408847819878,"[63, 64, 49, 63, 32, 1]"
NN3,32,T,1,1e-07,0.001252340884781988,0.0012523408847819877,"[63, 64, 49, 63, 32, 1]"
NN3,32,T,1,1e-06,0.001261340884781988,0.0012613408847819876,"[63, 64, 49, 63, 32, 1]"
NN3,32,T,4,1e-09,0.0012079461788996352,0.0012079461788996348,"[63, 64, 49, 63, 32, 1]"
NN3,32,T,4,1e-08,0.001208036178899635,0.0012080361788996347,"[63, 64, 49, 63, 32, 1]"
NN3,32,T,4,1e-07,0.001208936178899635,0.0012089361788996348,"[63, 64, 49, 63, 32, 1]"
NN3,32,T,4,1e-06,0.001217936178899635,0.0012179361788996349,"[63, 64, 49, 63, 32, 1]"
NN4,1,R,1,1e-09,0.000165471176979203,0.0001657300005086148,"[64, 63, 52, 48, 63, 32, 1]"
NN4,1,R,1,1e-08,0.000165579176979203,0.00016583800050861476,"[64, 63, 52, 48, 63, 32, 1]"
NN4,1,R,1,1e-07,0.000166659176979203,0.0001669180005086148,"[64, 63, 52, 48, 63, 32, 1]"
NN4,1,R,1,1e-06,0.000177459176979203,0.0001777180005086148,"[64, 63, 52, 48, 63, 32, 1]"
NN4,1,R,4,1e-09,0.000146661176979203,0.00014672588286155595,"[64, 63, 52, 48, 63, 32, 1]"
NN4,1,R,4,1e-08,0.000146769176979203,0.00014683388286155597,"[64, 64, 52, 48, 63, 32, 1]"
NN4,1,R,4,1e-07,0.000147849176979203,0.00014791388286155595,"[64, 63, 52, 48, 63, 32, 1]"
NN4,1,R,4,1e-06,0.00015864917697920304,0.00015871388286155594,"[64, 63, 52, 48, 63, 32, 1]"
NN4,1,T,1,1e-09,0.00015705962269165727,0.00015705962269165725,"[64, 63, 64, 49, 63, 32, 1]"
NN4,1,T,1,1e-08,0.0001571676226916572,0.00015716762269165724,"[64, 63, 64, 49, 63, 32, 1]"
NN4,1,T,1,1e-07,0.00015824762269165727,0.00015824762269165725,"[64, 63, 64, 49, 63, 32, 1]"
