net,mu,lam,bwd,param,value,alloc,T,comm_share,T_max,T_200,T_bestfix,u_bestfix,T_RI
NN2,32,8,T,C,24000000000.0,"[750, 784, 1000, 500, 10]",0.00010276418040121334,0.478972149722241,0.0001032456368947782,0.0002255383804709448,0.0001032456368947782,1000,0.0001032456368947782
NN2,32,8,T,B_lam,10000000000.0,"[750, 784, 1000, 500, 10]",0.0009076346118407217,0.18460655407186718,0.0009081160683342864,0.0014535101931607154,0.0009081160683342864,1000,0.0009081160683342864
NN2,32,8,T,B_lam,40000000000.0,"[750, 784, 1000, 500, 10]",0.0007893004941936627,0.06236050878378956,0.0007897819506872274,0.0013351760755136567,0.0007897819506872274,1000,0.0007897819506872274
NN2,32,8,T,ser2,2,"[750, 784, 1000, 500, 10]",0.0007570275530171921,0.022387876315986453,0.000757509009510757,0.0013029031343371861,0.000757509009510757,1000,0.000757509009510757
NN2,32,64,R,D_cfg,1e-09,"[750, 128, 250, 125, 10]",0.0016379602399836182,0.2740379954210934,0.0028491114049815046,0.001963520193464473,0.0018361944293610543,250,0.0016575254507675127
NN2,32,64,R,D_cfg,1e-08,"[750, 128, 250, 125, 10]",0.001638221239983618,0.27415365506374156,0.002849930404981504,0.0019637811934644727,0.0018364554293610544,250,0.0016578224507675125
NN2,32,64,R,D_cfg,1e-07,"[750, 128, 250, 125, 10]",0.0016408312399836182,0.2753082277669664,0.0028581204049815036,0.0019663911934644732,0.0018390654293610543,250,0.0016607924507675124
NN2,32,64,R,D_cfg,1e-06,"[750, 128, 250, 125, 10]",0.001666931239983618,0.2866550996724135,0.002940020404981504,0.0019924911934644726,0.0018651654293610543,250,0.0016903448010419408
NN2,32,64,R,C,1500000000.0,"[750, 392, 500, 250, 10]",0.0022110053562976835,0.4989543270389465,0.0028004613810293537,0.003068763020062396,0.002459215554626617,500,0.002450549298914476
NN2,32,64,R,C,6000000000.0,"[750, 157, 250, 125, 10]",0.0010696867779865509,0.4925766951876597,0.002281839381029354,0.0013030820200623963,0.0012077571366492538,188,0.0011469353589442124
NN2,32,64,R,C,24000000000.0,"[750, 64, 125, 63, 10]",0.0005349910136557,0.44549348974501357,0.002152183881029354,0.0008616617700623962,0.0006017831330665809,125,0.0006283631973368034
NN2,32,64,R,B_lam,10000000000.0,"[750, 64, 125, 63, 10]",0.00267956877970076,0.3554798324008303,0.009149280993216798,0.00408276942875859,0.003010351516578121,125,0.0029996130071933925
NN2,32,64,R,B_lam,40000000000.0,"[750, 128, 250, 125, 10]",0.001638221239983618,0.27415365506374156,0.002849930404981504,0.0019637811934644727,0.0018364554293610544,250,0.0016578224507675125
NN2,32,64,R,ser2,2,"[750, 392, 500, 250, 10]",0.0010338302720913622,0.1945752159565022,0.0011319256990991512,0.0013858753111115319,0.0010870827922846152,500,0.0012602977448851597
NN2,32,64,T,D_cfg,1e-09,"[750, 784, 1000, 500, 10]",0.0007457017099194161,0.00753973881536947,0.0007457268712923911,0.0012999834160855003,0.0007457268712923911,1000,0.0007457268712923911
NN2,32,64,T,D_cfg,1e-08,"[750, 784, 1000, 500, 10]",0.0007464847099194162,0.008580746587104613,0.0007465458712923911,0.0013002444160855001,0.0007465458712923911,1000,0.0007465458712923911
NN2,32,64,T,D_cfg,1e-07,"[750, 784, 1000, 500, 10]",0.0007543147099194161,0.01887195879885145,0.0007547358712923911,0.0013028544160855002,0.0007547358712923911,1000,0.0007547358712923911
NN2,32,64,T,D_cfg,1e-06,"[750, 784, 1000, 500, 10]",0.0008326147099194161,0.11113831526700117,0.0008366358712923911,0.0013289544160855003,0.0008366358712923911,1000,0.0008568284348853955
NN2,32,64,T,C,1500000000.0,"[750, 784, 1000, 500, 10]",0.0007454933961269668,0.00859215676523027,0.0007455545574999418,0.0028328704710427876,0.0007455545574999418,1000,0.0007455545574999418
NN2,32,64,T,C,6000000000.0,"[750, 784, 1000, 500, 10]",0.0001970573961269668,0.03250523072394462,0.00019711855749994178,0.0007190594710427882,0.00019711855749994178,1000,0.00019711855749994178
