method,family,reuse,alloc,T,comp,comm,commF,commB,D_init,E_laser,E_tune,E_dyn,E_leak,E_net,E_comp,E_total,flops,slotsF,slotsB,maxroute,maxfan,wire_bytes,sram_peak,Z,Rrun,Hmax,cores_used,local_frac,relaxed_real,net,mu,lam,bwd,sweeps,evals,u
CSE,FM,-1,"[75, 42, 40, 39, 4]",0.0009285912260318602,0.0008772908101742613,4.934041585759894e-05,1.3104859511371776e-06,4.802992990646176e-05,1.96e-06,3.8076936768931847e-06,0.00010923095300093183,0.00010551767552000002,0.0004401522411391017,0.0006587085633369267,0.00164445956,0.0023031681233369266,164445956.0,5.0,4.0,74.0,74.0,8737856.0,1100920.0,292,10,0.0009266312260318602,75,0.01931885342789598,,NN2,8,64,R,,,
BESTFIXE,FM,-1,"[50, 50, 50, 50, 10]",0.0008940876332402904,0.0008430571145832251,4.9070518657065324e-05,1.0276122697091293e-06,4.8042906387356193e-05,1.96e-06,4.728791797718128e-06,0.00012033723011078828,0.00013142417407999997,0.0004237975381558976,0.000680287734144404,0.0016471667599999998,0.002327454494144404,164716676.0,4.0,4.0,49.0,49.0,10854400.0,1028488.0,180,10,0.0008921276332402903,50,0.02,,NN2,8,64,R,,,50
MAX,FM,-1,"[1000, 784, 1000, 500, 10]",0.0007611687234322748,0.00023292098946174486,0.0005262877339705299,1.5620176035405998e-06,0.0005247257163669894,1.96e-06,6.87974869124603e-05,0.032626987218242955,0.00193049345024,0.00036079397490689825,0.03498707213030231,0.0018308307599999999,0.03681790289030231,183083076.0,53.0,38.0,500.0,999.0,157837184.0,375608.0,4844,10,0.0007592087234322748,1000,0.001045841784989858,,NN2,8,64,R,,,
F200,FM,-1,"[200, 200, 200, 200, 10]",0.0005124124130016274,0.00033351778509609385,0.00017693462790553354,1.1642894435990115e-06,0.00017577033846193454,1.96e-06,1.8467665063141848e-05,0.0018826569625486754,0.00051736214528,0.00024288348376277138,0.0026613702566545888,0.00168657476,0.004347945016654589,168657476.0,16.0,13.0,199.0,199.0,42385280.0,507552.0,780,10,0.0005104524130016275,200,0.005007555152614083,,NN2,8,64,R,,,
BESTFIX,FM,-1,"[250, 250, 250, 250, 10]",0.0004787498949555427,0.00029987232329699136,0.00017691757165855132,9.875260259902475e-07,0.00017593004563256108,1.96e-06,2.3044419784269216e-05,0.0029370225706042137,0.00064599769088,0.00022692745020892724,0.00383299213147741,0.00169971076,0.00553270289147741,169971076.0,16.0,13.0,249.0,249.0,52894720.0,472376.0,980,10,0.0004767898949555427,250,0.004,,NN2,8,64,R,,,250
MAX,RRM,-1,"[1000, 784, 1000, 500, 10]",0.0007611814439560964,0.00023292098946174486,0.0005263004544943516,1.5619028641631333e-06,0.0005247385516301884,1.96e-06,6.879850126447267e-05,0.032627390936500834,0.0019305012838400002,0.00036080000443518967,0.034987490726040495,0.0018308307599999999,0.036818321486040494,183083076.0,53.0,38.0,500.0,999.0,157837824.0,371600.0,4884,4,0.0007230758544325286,1000,0.0010417849898580122,,NN2,8,64,R,,,
F200,RRM,-1,"[200, 200, 200, 200, 10]",0.0005132957803638342,0.00033351778509609385,0.00017781799526774033,1.1760811211601596e-06,0.00017664191414658016,1.96e-06,1.8560857291486297e-05,0.0019016240566543797,0.00051995820032,0.0002433021998924574,0.0026834453141583235,0.00168657476,0.004370020074158323,168657476.0,16.0,13.0,399.0,200.0,42597376.0,288576.0,3220,2,0.00017516653037716253,810,0.0,,NN2,8,64,R,,,
BESTFIX,RRM,-1,"[250, 250, 250, 250, 10]",0.0004794885595272531,0.00029987232329699136,0.00017765623623026175,1.0072611989144444e-06,0.0001766489750313473,1.96e-06,2.3140790124035944e-05,0.0029611067952513745,0.00064858591232,0.00022727757721591798,0.0038601110749113287,0.00169971076,0.005559821834911329,169971076.0,16.0,13.0,499.0,250.0,53106176.0,288576.0,4020,2,0.00017541390772036743,1000,0.0,,NN2,8,64,R,,,250
MAX,ORRM,-1,"[1000, 784, 1000, 500, 10]",0.0007612073263090377,0.00023292098946174486,0.0005263263368472928,1.5617881247856668e-06,0.0005247645487225071,1.96e-06,6.88033986610762e-05,0.032629894985745575,0.0019306704895999999,0.00036081227267048386,0.03499018114667714,0.0018308307599999999,0.03682101190667714,183083076.0,53.0,38.0,500.0,999.0,157851648.0,365256.0,4884,4,0.0007231017367854698,1000,0.0009541582150101419,,NN2,8,64,R,,,
F200,ORRM,-1,"[200, 200, 200, 200, 10]",0.0005132957803638342,0.00033351778509609385,0.00017781799526774033,1.1760811211601596e-06,0.00017664191414658016,1.96e-06,1.8560857291486297e-05,0.0019016240566543797,0.00051995820032,0.0002433021998924574,0.0026834453141583235,0.00168657476,0.004370020074158323,168657476.0,16.0,13.0,399.0,200.0,42597376.0,288576.0,3220,2,0.00017516653037716253,810,0.0,,NN2,8,64,R,,,
BESTFIX,ORRM,-1,"[250, 250, 250, 250, 10]",0.0004794880476131075,0.00029987232329699136,0.00017765572431611615,1.0069787635237582e-06,0.00017664874555259238,1.96e-06,2.3140723328066045e-05,0.002960991310019687,0.0006485624115199999,0.00022727733456861295,0.003859971779436366,0.00169971076,0.005559682539436366,169971076.0,16.0,13.0,497.0,250.0,53104256.0,376816.0,3988,4,0.0002740745409723263,1000,3.631961259079903e-05,,NN2,8,64,R,,,250
RI,FM,-1,"[1000, 784, 1000, 500, 10]",0.0002521958460200219,0.00023011673853700842,2.0119107483013526e-05,1.208392827176145e-05,8.035179211252077e-06,1.96e-06,3.452086811344461e-07,0.00013226403982257592,0.0008612551168,0.00011954083101349039,0.0011134051963172008,0.00207763348,0.003191038676317201,207763348.0,411.0,288.0,500.0,999.0,388992.0,364296.0,4844,10,0.0002502358460200219,1000,0.001045841784989858,"[2821.855417982985, 1878.4509378543605, 1562.9089411339862, 1126.4083431667023, 215.10514224960363]",NN2,8,8,T,,,
CS,FM,-1,"[750, 784, 1000, 500, 10]",0.00025171438952645704,0.00023011673853700842,1.963765098944863e-05,1.1618888335280186e-05,8.018762654168444e-06,1.96e-06,3.3675182978790625e-07,0.00012287246486337465,0.00082409039872,0.00011931262063554063,0.0010666122360487031,0.00207763348,0.0031442457160487033,207763348.0,380.0,288.0,500.0,999.0,388992.0,364296.0,3980,10,0.000249754389526457,1000,0.0011334685598377281,,NN2,8,8,T,2,6579,
